C D2102  25 MAR 2021    © COPYRIGHT CORREIOS                 BAIRROS                                                                                                                                               
DSP      00008917Arealva                                                                      00076333Jardim Primavera                                                        Jd Primavera                        I
DSP      00008917Arealva                                                                      00076331Nova Marilândia                                                         N Marilândia                        I
DSP      00008917Arealva                                                                      00076330Recanto dos Pássaros                                                    Rec Pássaros                        I
DSP      00008917Arealva                                                                      00076328Riviera do Tietê                                                        R Tietê                             I
DSP      00008917Arealva                                                                      00076332Vale do Sol                                                             Vle Sol                             I
DGO      00002336Senador Canedo                                                               00076088Condomínio Vinhas                                                       Cond Vinhas                         I
DGO      00002222Luziânia                                                                     00076201Fazenda Saia Velha                                                      Faz S Velha                         I
DMT      00004495Sorriso                                                                      00076125Jardim Botânico                                                         Jd Botânico                         I
DMT      00004493Sinop                                                                        00076086Residencial Riviera Suíça I                                             Res R Suíça I                       I
DMT      00004493Sinop                                                                        00076085Residencial Riviera Suíça II                                            Res R Suíça II                      I
DGO      00002165Formosa                                                                      00052694Chácaras Setor Abreu                                                    Chs St Abreu                        U
DSP      00009445Palmital                                                                     00075595Conjunto Habitacional Albino Rainho                                     Cj Hab A Rainho                     U
DMT      00004462Rondonópolis                                                                 00058655Loteamento Residencial Antônio Geraldini                                Lot Res A Geraldini                 U
DGO      00002174Goiânia                                                                      00075960Chácaras Bougainville                                                   Chs Bougainville                    I
DGO      00002361Valparaíso de Goiás                                                          00075964Chácaras Ypiranga A                                                     Chs Ypiranga A                      I
DGO      00002361Valparaíso de Goiás                                                          00075965Chácaras Ypiranga B                                                     Chs Ypiranga B                      I
DGO      00002349Trindade                                                                     00075958Condomínio de Chácaras Galiléia                                         Cond Chs Galiléia                   I
DGO      00002069Aparecida de Goiânia                                                         00075966Setor Pampulha II                                                       St Pampulha II                      I
DMS      00004141Campo Grande                                                                 00075998Jacy                                                                    Jacy                                I
DMA      00002606Timon                                                                        00056759Cicero Ferraz                                                           C Ferraz                            D
DMG      00004048Uberlândia                                                                   00039526Joana D'Arc                                                             J D'Arc                             D
DMG      00004048Uberlândia                                                                   00051831Jardim Sucupira                                                         Jd Sucupira                         D
DMG      00004048Uberlândia                                                                   00049945Prosperidade                                                            Prosperidade                        D
DMA      00002606Timon                                                                        00003049Planalto Boa Esperança                                                  P B Esperança                       D
DMG      00004048Uberlândia                                                                   00056908Loteamento Integração                                                   Lot Integração                      D
DGO      00002069Aparecida de Goiânia                                                         00002008Conjunto Morada do Sol                                                  Cj M Sol                            D
DGO      00002069Aparecida de Goiânia                                                         00002013Distrito Industrial                                                     Dt Industrial                       D
DGO      00002069Aparecida de Goiânia                                                         00002023Jardim Ametista                                                         Jd Ametista                         D
DGO      00002069Aparecida de Goiânia                                                         00002062Jardim Oliveira                                                         Jd Oliveira                         D
DGO      00002069Aparecida de Goiânia                                                         00002050Jardim Itaipu                                                           Jd Itaipu                           D
DGO      00002069Aparecida de Goiânia                                                         00002109Parque Village                                                          Prq Village                         D
DGO      00002069Aparecida de Goiânia                                                         00002112Residencial Baliza                                                      Res Baliza                          D
DGO      00002069Aparecida de Goiânia                                                         00002129Setor das Esmeraldas                                                    St Esmeraldas                       D
DGO      00002069Aparecida de Goiânia                                                         00002138Setor Pontal Sul                                                        St P Sul                            D
DSP      00009150Garça                                                                        00075948Garça                                                                   Garça                               D
DMA      00002606Timon                                                                        00003073Sete Estrelas                                                           S Estrelas                          D
DGO      00002069Aparecida de Goiânia                                                         00002007Conjunto Maria Celeste                                                  Cj M Celeste                        D
DGO      00002069Aparecida de Goiânia                                                         00002010Conjunto Residencial Baliza                                             Cj Res Baliza                       D
DSP      00009172Guarantã                                                                     00075813Guarantã                                                                Guarantã                            D
DSP      00009507Platina                                                                      00075764Platina                                                                 Platina                             D
DSP      00009529Presidente Alves                                                             00075758Presidente Alves                                                        Pres Alves                          D
DSP      00009468Pederneiras                                                                  00075947Pederneiras                                                             Pederneiras                         D
#
