C D2102  25 MAR 2021    © COPYRIGHT CORREIOS                 FAIXAS DE CEP POR BAIRRO                                                                                                                  
D  26SP      00008949Barra Bonita                                                                 00076306Vila Maria Cristina                                                     01 17347250 17347269I
D  26SP      00008949Barra Bonita                                                                 00049204Vila Narcisa                                                            01 17340190 17340249I
D  26SP      00008949Barra Bonita                                                                 00076302Vila Nova                                                               01 17347000 17347029I
D  26SP      00008949Barra Bonita                                                                 00076266Vila Operária                                                           01 17340130 17340189I
D  26SP      00008949Barra Bonita                                                                 00076307Vila Ricci                                                              01 17347270 17347289I
D  26SP      00008949Barra Bonita                                                                 00076272Vila São José                                                           01 17342000 17342029I
D  26SP      00008954Barretos                                                                     00076025Alto Pimenta                                                            01 14781429 14781429I
D  26SP      00008954Barretos                                                                     00015320Santana                                                                 02 14781428 14781428I
D  26SP      00008962Bebedouro                                                                    00076017Jardim Europa                                                           01 14711641 14711702I
D  26SP      00009005Caçapava                                                                     00076018Vila Jardim Ipiranga                                                    01 12282381 12282389I
D  26SP      00009072Cordeirópolis                                                                00076205Área Rural de Cordeirópolis                                             01 13494890 13494899I
D  26SP      00009072Cordeirópolis                                                                00076152Assentamento XX de Novembro                                             01 13491410 13491419I
D  26SP      00009072Cordeirópolis                                                                00062623Bairro do Cascalho                                                      01 13492400 13492449I
D  26SP      00009072Cordeirópolis                                                                00076140Barreirinho                                                             01 13490320 13490329I
D  26SP      00009072Cordeirópolis                                                                00076151Barro Preto                                                             01 13491400 13491409I
D  26SP      00009072Cordeirópolis                                                                00035638Centro                                                                  01 13490001 13490029I
D  26SP      00009072Cordeirópolis                                                                00076158Conjunto Habitacional Angelo Betim                                      01 13492150 13492159I
D  26SP      00009072Cordeirópolis                                                                00076188Conjunto Habitacional Bela Vista                                        01 13493000 13493019I
D  26SP      00009072Cordeirópolis                                                                00076196Conjunto Habitacional Santa Luzia                                       01 13493220 13493249I
D  26SP      00009072Cordeirópolis                                                                00076191Conjunto Habitacional São José I                                        01 13493060 13493079I
D  26SP      00009072Cordeirópolis                                                                00076192Conjunto Habitacional São José II                                       01 13493080 13493089I
D  26SP      00009072Cordeirópolis                                                                00076159Desmembramento Agostinho Trindade Silva                                 01 13492160 13492169I
D  26SP      00009072Cordeirópolis                                                                00076131Desmembramento Fernando Barroso Ratto                                   01 13490050 13490059I
D  26SP      00009072Cordeirópolis                                                                00076133Desmembramento Jafet                                                    01 13490080 13490099I
D  26SP      00009072Cordeirópolis                                                                00076137Desmembramento Leandro Boteon                                           01 13490250 13490259I
D  26SP      00009072Cordeirópolis                                                                00076144Desmembramento Mendes                                                   01 13491040 13491049I
D  26SP      00009072Cordeirópolis                                                                00076130Desmembramento Odécio Roland                                            01 13490040 13490049I
D  26SP      00009072Cordeirópolis                                                                00076165Distrito Industrial Alcides Fantussi                                    01 13492600 13492619I
D  26SP      00009072Cordeirópolis                                                                00076202Distrito Industrial e Comercial Flamínio de Freitas Levy                01 13494010 13494029I
D  26SP      00009072Cordeirópolis                                                                00076200Distrito Industrial Prefeito Geraldo Botion                             01 13494000 13494009I
D  26SP      00009072Cordeirópolis                                                                00076189Jardim Bela Vista                                                       01 13493020 13493039I
D  26SP      00009072Cordeirópolis                                                                00076203Jardim Cordeiro                                                         01 13494200 13494239I
D  26SP      00009072Cordeirópolis                                                                00076204Jardim Cordeiro II                                                      01 13494240 13494259I
D  26SP      00009072Cordeirópolis                                                                00076157Jardim Flamboyant                                                       01 13492140 13492149I
D  26SP      00009072Cordeirópolis                                                                00076149Jardim José Corte                                                       01 13491150 13491179I
D  26SP      00009072Cordeirópolis                                                                00076148Jardim Juventude                                                        01 13491130 13491149I
D  26SP      00009072Cordeirópolis                                                                00076195Jardim Lise                                                             01 13493200 13493219I
D  26SP      00009072Cordeirópolis                                                                00076134Jardim Módolo                                                           01 13490100 13490119I
D  26SP      00009072Cordeirópolis                                                                00076156Jardim Paraíso                                                          01 13492130 13492139I
D  26SP      00009072Cordeirópolis                                                                00076146Jardim Planalto                                                         01 13491090 13491119I
D  26SP      00009072Cordeirópolis                                                                00076197Jardim Progresso                                                        01 13493250 13493289I
D  26SP      00009072Cordeirópolis                                                                00076154Jardim Residencial do Bosque                                            01 13492010 13492029I
D  26SP      00009072Cordeirópolis                                                                00076141Jardim Residencial Eldorado                                             01 13490330 13490359I
D  26SP      00009072Cordeirópolis                                                                00076139Jardim Residencial Florença                                             01 13490280 13490319I
D  26SP      00009072Cordeirópolis                                                                00076194Jardim Residencial Paraty                                               01 13493110 13493139I
D  26SP      00009072Cordeirópolis                                                                00076198Jardim São Francisco                                                    01 13493290 13493319I
D  26SP      00009072Cordeirópolis                                                                00076199Jardim São Luiz                                                         01 13493320 13493359I
D  26SP      00009072Cordeirópolis                                                                00076135Jardim São Paulo                                                        01 13490120 13490129I
D  26SP      00009072Cordeirópolis                                                                00076161Loteamento Industrial e Comercial Santa Marina                          01 13492200 13492229I
D  26SP      00009072Cordeirópolis                                                                00076160Loteamento Industrial Pedro Boldrini                                    01 13492170 13492179I
D  26SP      00009072Cordeirópolis                                                                00076164Residencial Portal das Torres                                           01 13492230 13492249I
D  26SP      00009072Cordeirópolis                                                                00076150Residencial Santa Rita                                                  01 13491180 13491199I
D  26SP      00009072Cordeirópolis                                                                00076187Santa Tereza                                                            01 13492700 13492709I
D  26SP      00009072Cordeirópolis                                                                00076080São Joaquim                                                             01 13492100 13492109I
D  26SP      00009072Cordeirópolis                                                                00076155Vila Barbosa                                                            01 13492110 13492129I
D  26SP      00009072Cordeirópolis                                                                00076138Vila Boteon                                                             01 13490260 13490279I
D  26SP      00009072Cordeirópolis                                                                00076136Vila das Palmeiras                                                      01 13490180 13490189I
D  26SP      00009072Cordeirópolis                                                                00076193Vila Dona Loni Levy                                                     01 13493090 13493109I
D  26SP      00009072Cordeirópolis                                                                00076143Vila dos Pinheiros                                                      01 13491020 13491039I
D  26SP      00009072Cordeirópolis                                                                00076129Vila Lídia                                                              01 13490030 13490039I
D  26SP      00009072Cordeirópolis                                                                00076142Vila Nossa Senhora Aparecida                                            01 13491000 13491019I
D  26SP      00009072Cordeirópolis                                                                00076079Vila Nova Brasília                                                      01 13490150 13490179I
D  26SP      00009072Cordeirópolis                                                                00076147Vila Olympia                                                            01 13491120 13491129I
D  26SP      00009072Cordeirópolis                                                                00076153Vila Pereira                                                            01 13492000 13492009I
D  26SP      00009072Cordeirópolis                                                                00076145Vila Primavera                                                          01 13491050 13491089I
D  26SP      00009072Cordeirópolis                                                                00076132Vila Santo Antonio                                                      01 13490060 13490079I
D  26SP      00009072Cordeirópolis                                                                00076190Vila São José                                                           01 13493040 13493059I
D  26SP      00009082Cotia                                                                        00051174da Capelinha                                                            02 06729450 06729499I
D  26SP      00009082Cotia                                                                        00052832dos Neves (Caucaia do Alto)                                             01 06729400 06729449U
D  26SP      00009190Iacanga                                                                      00076015Parque São Judas Tadeu                                                  01 17180100 17180119I
D  26SP      00009190Iacanga                                                                      00076240Quilombo                                                                01 17189000 17189099I
D  26SP      00009190Iacanga                                                                      00076241São Vicente                                                             01 17189100 17189199I
D  26SP      00009206Igaraçu do Tietê                                                             00076123Área Rural de Igaraçu do Tietê                                          01 17359899 17359899I
D  26SP      00009206Igaraçu do Tietê                                                             00035682Centro                                                                  01 17350001 17350059I
D  26SP      00009206Igaraçu do Tietê                                                             00076116Conjunto Habitacional Alfredo Fernandes                                 01 17354100 17354129I
D  26SP      00009206Igaraçu do Tietê                                                             00076115Conjunto Habitacional Elvira Ortega Lemos                               01 17354080 17354099I
D  26SP      00009206Igaraçu do Tietê                                                             00076117Conjunto Habitacional Igaraçu  I                                        01 17354130 17354179I
D  26SP      00009206Igaraçu do Tietê                                                             00076114Conjunto Habitacional João Capelazzo                                    01 17354050 17354079I
D  26SP      00009206Igaraçu do Tietê                                                             00076090Conjunto Residencial Segura Garcia                                      01 17350060 17350079I
D  26SP      00009206Igaraçu do Tietê                                                             00076118Conjunto Residencial Segura Garcia II                                   01 17357000 17357019I
D  26SP      00009206Igaraçu do Tietê                                                             00076122Distrito Industrial Comendador João Rayes                               01 17357240 17357259I
D  26SP      00009206Igaraçu do Tietê                                                             00076113Distrito Industrial Vereador Paschoal Ruiz                              01 17354000 17354009I
D  26SP      00009206Igaraçu do Tietê                                                             00076110Jardim Altos do Igaraçu                                                 01 17352400 17352419I
D  26SP      00009206Igaraçu do Tietê                                                             00076096Jardim da Colina                                                        01 17350220 17350249I
D  26SP      00009206Igaraçu do Tietê                                                             00076111Jardim das Acácias                                                      01 17352420 17352479I
D  26SP      00009206Igaraçu do Tietê                                                             00076112Jardim dos Antúrios                                                     01 17352480 17352509I
D  26SP      00009206Igaraçu do Tietê                                                             00076104Jardim Germano Roncari                                                  01 17352100 17352109I
D  26SP      00009206Igaraçu do Tietê                                                             00076100Jardim Maria Carolina                                                   01 17350320 17350349I
D  26SP      00009206Igaraçu do Tietê                                                             00076099Jardim Novo Estilo                                                      01 17350290 17350319I
D  26SP      00009206Igaraçu do Tietê                                                             00076097Jardim Novo Igaraçu                                                     01 17350250 17350269I
D  26SP      00009206Igaraçu do Tietê                                                             00076107Jardim Ouro Verde                                                       01 17352160 17352179I
D  26SP      00009206Igaraçu do Tietê                                                             00076106Jardim Paulista                                                         01 17352140 17352159I
D  26SP      00009206Igaraçu do Tietê                                                             00076094Jardim Portal da Colina                                                 01 17350200 17350209I
D  26SP      00009206Igaraçu do Tietê                                                             00076095Jardim Portal da Colina III                                             01 17350210 17350219I
D  26SP      00009206Igaraçu do Tietê                                                             00076121Núcleo Habitacional Comendador Orlando Chesini Ometto                   01 17357220 17357239I
D  26SP      00009206Igaraçu do Tietê                                                             00076120Núcleo Habitacional Humberto Scaliza                                    01 17357200 17357219I
D  26SP      00009206Igaraçu do Tietê                                                             00076093Recanto Dona Adélia                                                     01 17350150 17350159I
D  26SP      00009206Igaraçu do Tietê                                                             00076103Residencial Nossa Gente                                                 01 17352020 17352059I
D  26SP      00009206Igaraçu do Tietê                                                             00076101Residencial Park Boa Vista                                              01 17350600 17350639I
D  26SP      00009206Igaraçu do Tietê                                                             00076108Residencial São José                                                    01 17352180 17352199I
D  26SP      00009206Igaraçu do Tietê                                                             00076109Residencial São José II                                                 01 17352200 17352219I
D  26SP      00009206Igaraçu do Tietê                                                             00076119Rio Lindo II                                                            01 17357020 17357039I
D  26SP      00009206Igaraçu do Tietê                                                             00076098Vila Boa Vista                                                          01 17350270 17350289I
D  26SP      00009206Igaraçu do Tietê                                                             00076105Vila Leozina                                                            01 17352110 17352139I
D  26SP      00009206Igaraçu do Tietê                                                             00076091Vila Manoel Rayes                                                       01 17350080 17350109I
D  26SP      00009206Igaraçu do Tietê                                                             00076092Vila Nossa Senhora Aparecida                                            01 17350110 17350149I
D  26SP      00009206Igaraçu do Tietê                                                             00076102Vila Santa Isabel                                                       01 17352000 17352019I
D  26SP      00009285Jaú                                                                          00076067Condomínio Residencial Bem Viver                                        01 17218020 17218039I
D  26SP      00009285Jaú                                                                          00076068Jardim Alberto Ferrucci                                                 01 17218000 17218019I
D  26SP      00009285Jaú                                                                          00076056Jardim dos Ipês                                                         01 17219000 17219029I
